brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
merc, GLS Class,2017,Automatic,26452,Diesel,305.0,37.2,3.0,38343
audi, A7,2017,Semi-Auto,34132,Diesel,30.0,62.8,3.0,21150
skoda, Rapid,2017,Manual,32657,Diesel,0.0,74.3,1.6,8485
vw, Arteon,2019,Automatic,7865,Diesel,145.0,50.4,2.0,28995
vw, Tiguan Allspace,2019,Semi-Auto,5000,Diesel,150.0,44.1,2.0,26999
vw, Shuttle,2019,Manual,3615,Diesel,145.0,38.2,2.0,20480
toyota, Prius,2018,Automatic,20252,Hybrid,135.0,85.6,1.8,22000
ford, KA,2018,Manual,5007,Petrol,145.0,57.7,1.2,8299
skoda, Rapid,2016,Manual,49093,Diesel,0.0,74.3,1.6,6985
hyundi, Santa Fe,2016,Manual,10200,Diesel,200.0,46.3,2.2,17390
toyota, Verso,2017,Automatic,33989,Other,165.0,43.5,1.8,14800
skoda, Scala,2020,Manual,5234,Petrol,145.0,49.6,1.0,16490
audi, A8,1997,Automatic,122000,Petrol,265.0,18.9,4.2,4650
hyundi, IX20,2016,Manual,28500,Petrol,125.0,50.4,1.4,8189
ford, Grand Tourneo Connect,2015,Manual,54429,Diesel,125.0,58.9,1.6,10499
hyundi, Santa Fe,2018,Manual,21588,Diesel,145.0,47.1,2.2,20842
merc, S Class,2019,Semi-Auto,4688,Petrol,150.0,31.7,4.0,109995
merc, GLB Class,2020,Semi-Auto,29,Diesel,145.0,46.3,2.0,39480
merc, M Class,2013,Automatic,51800,Diesel,200.0,44.8,2.1,15990
bmw, 7 Series,2019,Semi-Auto,706,Diesel,145.0,44.1,3.0,52700
audi, Q8,2019,Automatic,945,Diesel,145.0,33.6,3.0,56000
merc, GL Class,2015,Automatic,42073,Diesel,125.0,55.4,2.1,15999
merc, X-CLASS,2019,Automatic,39,Diesel,260.0,35.8,2.3,28675
bmw, X7,2019,Semi-Auto,17561,Petrol,145.0,24.8,3.0,67989
audi, RS6,2015,Automatic,24987,Petrol,315.0,29.4,4.0,44950
skoda, Yeti,2013,Manual,67235,Diesel,200.0,47.1,2.0,6688
ford, Edge,2017,Semi-Auto,20045,Diesel,160.0,48.7,2.0,20750
bmw, M4,2017,Automatic,5735,Petrol,145.0,32.5,3.0,39950
ford, Edge,2017,Semi-Auto,41726,Diesel,160.0,48.7,2.0,18998
vauxhall, GTC,2016,Automatic,44310,Petrol,200.0,42.8,1.4,9240
ford, Edge,2017,Manual,22922,Diesel,160.0,48.7,2.0,19999
vauxhall, Combo Life,2019,Manual,17957,Diesel,145.0,53.3,1.5,15990
merc, S Class,2015,Automatic,46757,Diesel,205.0,47.9,3.0,25460
audi, Q8,2019,Semi-Auto,4488,Diesel,145.0,33.6,3.0,48995
toyota, Verso,2016,Semi-Auto,13992,Petrol,165.0,43.5,1.8,13490
merc, SLK,2001,Automatic,48172,Petrol,325.0,30.0,2.3,3990
ford, KA,2018,Manual,10691,Petrol,150.0,47.9,1.2,9500
ford, Galaxy,2017,Manual,32750,Diesel,125.0,56.5,2.0,18999
vw, Arteon,2019,Automatic,1000,Diesel,145.0,37.7,2.0,34000
vw, Beetle,2013,Manual,38333,Petrol,235.0,37.2,2.0,10400
toyota, Prius,2013,Automatic,58852,Other,10.0,64.2,1.8,17995
vw, Amarok,2018,Automatic,5673,Diesel,260.0,33.6,3.0,32000
skoda, Rapid,2015,Manual,28301,Petrol,20.0,57.7,1.2,7990
hyundi, Santa Fe,2020,Semi-Auto,6000,Diesel,150.0,39.2,2.2,36999
merc, S Class,2015,Semi-Auto,29036,Diesel,160.0,50.4,3.0,24998
vw, Scirocco,2017,Automatic,34203,Diesel,145.0,62.8,2.0,17000
toyota, Avensis,2016,Manual,29535,Diesel,20.0,67.3,1.6,9499
bmw, M5,2012,Automatic,51000,Petrol,555.0,28.5,4.4,23995
ford, Grand C-MAX,2017,Manual,4040,Petrol,145.0,54.3,1.0,14500
hyundi, IX20,2017,Manual,10279,Petrol,145.0,50.4,1.4,9795
vw, Scirocco,2017,Manual,24481,Diesel,150.0,55.4,2.0,16299
vw, Amarok,2019,Automatic,6898,Diesel,260.0,33.6,3.0,34900
vw, Scirocco,2016,Manual,17141,Diesel,20.0,55.4,2.0,15940
vw, Arteon,2019,Automatic,6000,Diesel,145.0,50.4,2.0,28990
vw, Amarok,2018,Automatic,13764,Diesel,260.0,36.2,3.0,27900
ford, Galaxy,2016,Automatic,35646,Diesel,160.0,51.4,2.0,17750
ford, KA,2013,Manual,17427,Petrol,30.0,57.7,1.2,5300
skoda, Yeti,2017,Manual,19956,Diesel,145.0,62.8,2.0,13750
ford, Galaxy,2016,Manual,27315,Diesel,125.0,56.5,2.0,18000
toyota, Prius,2017,Automatic,9891,Hybrid,0.0,85.6,1.8,20000
vw, Beetle,2016,Manual,21930,Petrol,125.0,51.4,1.2,10941
merc, CLA Class,2020,Automatic,3600,Petrol,145.0,33.2,2.0,54900
ford, Tourneo Custom,2019,Manual,1410,Diesel,145.0,30.1,2.0,26922
toyota, Prius,2018,Automatic,59191,Other,135.0,235.0,1.8,18150
ford, Galaxy,2016,Manual,23300,Diesel,125.0,56.5,2.0,17990
vw, Caravelle,2011,Automatic,86000,Diesel,325.0,34.4,2.0,19995
merc, GLS Class,2019,Automatic,11607,Diesel,145.0,37.2,3.0,44990
ford, Grand Tourneo Connect,2017,Manual,4856,Diesel,145.0,61.4,1.5,13998
toyota, Prius,2018,Automatic,10549,Hybrid,135.0,94.1,1.8,20950
hyundi, Santa Fe,2017,Semi-Auto,12957,Diesel,240.0,42.8,2.2,19498
bmw, i3,2017,Automatic,17338,Hybrid,135.0,470.8,0.0,19495
bmw, X4,2019,Semi-Auto,6449,Diesel,145.0,37.2,3.0,41999
merc, V Class,2017,Semi-Auto,41298,Diesel,205.0,45.6,2.2,29998
bmw, X4,2019,Automatic,2188,Petrol,145.0,26.9,3.0,42460
toyota, Prius,2019,Automatic,3982,Hybrid,135.0,61.4,1.8,22990
toyota, Prius,2016,Automatic,48297,Hybrid,0.0,85.6,1.8,17650
vauxhall, GTC,2015,Manual,32160,Petrol,160.0,44.8,1.6,8790
audi, RS3,2017,Automatic,38000,Petrol,150.0,34.0,2.5,31888
vw, Tiguan Allspace,2019,Automatic,7971,Diesel,145.0,39.2,2.0,26995
merc, V Class,2019,Manual,5000,Diesel,145.0,46.3,2.1,24990
audi, Q8,2020,Automatic,3522,Diesel,145.0,30.7,4.0,84496
vw, Beetle,2017,Manual,30456,Diesel,150.0,67.3,2.0,13981
bmw, 6 Series,2017,Automatic,23954,Petrol,260.0,36.7,3.0,23400
ford, Tourneo Custom,2017,Manual,23838,Diesel,150.0,44.8,2.0,19490
ford, Galaxy,2016,Manual,87180,Diesel,125.0,56.5,2.0,14500
bmw, X4,2017,Semi-Auto,18441,Diesel,145.0,54.3,2.0,23000
skoda, Kamiq,2019,Manual,458,Petrol,150.0,49.6,1.0,16991
hyundi, Santa Fe,2019,Semi-Auto,5883,Diesel,145.0,39.2,2.2,33791
bmw, X4,2019,Semi-Auto,1852,Diesel,145.0,40.4,3.0,37980
vw, Amarok,2017,Automatic,25624,Diesel,260.0,36.2,3.0,25995
ford, Edge,2018,Semi-Auto,12815,Diesel,150.0,48.7,2.0,22795
vauxhall, Zafira Tourer,2017,Manual,21000,Diesel,145.0,62.8,1.6,12295
vw, Caddy Life,2020,Manual,1700,Diesel,150.0,51.4,2.0,22000
audi, RS3,2020,Automatic,10,Petrol,145.0,30.1,2.5,42490
bmw, X4,2019,Semi-Auto,7414,Diesel,145.0,42.8,2.0,35480
ford, KA,2013,Manual,22995,Petrol,30.0,57.7,1.2,4391
ford, Grand C-MAX,2016,Manual,34883,Diesel,30.0,61.4,2.0,11998
vw, Scirocco,2018,Manual,30532,Diesel,145.0,53.3,2.0,16495
ford, Mustang,2019,Automatic,1055,Petrol,145.0,22.1,5.0,37991
bmw, 7 Series,2020,Semi-Auto,3500,Diesel,145.0,42.2,3.0,53995
toyota, Prius,2010,Automatic,67000,Hybrid,0.0,70.6,1.8,6995
audi, A7,2019,Automatic,15302,Diesel,145.0,47.1,2.0,31720
ford, Galaxy,2016,Manual,33883,Diesel,125.0,56.5,2.0,14999
toyota, Prius,2018,Automatic,44512,Hybrid,135.0,94.1,1.8,17995
vw, Scirocco,2016,Manual,32526,Petrol,125.0,52.3,1.4,14382
vw, Shuttle,2019,Semi-Auto,10000,Diesel,150.0,32.8,2.0,34950
vw, CC,2016,Automatic,54355,Diesel,125.0,58.9,2.0,10712
bmw, Z4,2019,Semi-Auto,7363,Petrol,145.0,38.2,2.0,27450
merc, CLS Class,2013,Semi-Auto,64777,Diesel,205.0,47.1,3.0,14972
merc, CLS Class,2019,Semi-Auto,7301,Diesel,145.0,47.9,2.9,42900
ford, KA,2013,Manual,33761,Petrol,30.0,57.7,1.2,4500
audi, SQ5,2017,Automatic,27000,Petrol,150.0,34.0,3.0,36950
hyundi, IX20,2018,Manual,3250,Petrol,145.0,37.2,1.6,12995
skoda, Scala,2019,Manual,3501,Petrol,145.0,49.6,1.0,15490
audi, RS5,2019,Semi-Auto,2469,Petrol,150.0,29.7,2.9,56400
bmw, X4,2019,Semi-Auto,8515,Diesel,145.0,42.8,2.0,34000
bmw, 6 Series,2020,Semi-Auto,11,Petrol,145.0,42.8,2.0,33999
skoda, Rapid,2013,Manual,29750,Petrol,125.0,52.3,1.2,5495
toyota, Prius,2013,Automatic,52217,Hybrid,0.0,134.5,1.8,13522
ford, Edge,2017,Semi-Auto,25725,Diesel,145.0,47.9,2.0,22511
skoda, Yeti,2017,Manual,13591,Petrol,145.0,51.4,1.2,15495
ford, Edge,2017,Automatic,19039,Diesel,160.0,48.7,2.0,20000
merc, SLK,2006,Automatic,75000,Petrol,555.0,28.0,3.5,4995
skoda, Yeti,2014,Manual,43429,Diesel,30.0,61.4,1.6,9000
merc, GLS Class,2018,Semi-Auto,41102,Petrol,145.0,23.0,5.5,64999
hyundi, Santa Fe,2020,Semi-Auto,1801,Diesel,145.0,39.8,2.2,35995
ford, KA,2016,Manual,30225,Petrol,30.0,57.7,1.2,5666
skoda, Scala,2019,Semi-Auto,5000,Petrol,145.0,47.1,1.0,16250
toyota, GT86,2014,Manual,39761,Petrol,265.0,36.2,2.0,13000
skoda, Yeti,2015,Manual,32800,Diesel,165.0,49.6,2.0,10480
bmw, 6 Series,2019,Semi-Auto,7994,Petrol,145.0,42.8,2.0,31999
vw, Amarok,2019,Automatic,16898,Diesel,260.0,33.6,3.0,27990
skoda, Kamiq,2019,Semi-Auto,1500,Petrol,145.0,43.5,1.5,22500
ford, Grand Tourneo Connect,2015,Manual,30760,Diesel,115.0,58.9,1.6,10995
merc, X-CLASS,2017,Automatic,11447,Diesel,260.0,35.8,2.3,31000
skoda, Kamiq,2020,Manual,1500,Petrol,145.0,49.6,1.0,18490
ford, Grand C-MAX,2017,Manual,8121,Petrol,145.0,54.3,1.0,12490
hyundi, I800,2018,Automatic,34605,Diesel,145.0,28.0,2.5,15990
hyundi, Santa Fe,2019,Semi-Auto,30,Diesel,145.0,40.9,2.2,32995
skoda, Rapid,2017,Manual,23002,Petrol,145.0,57.7,1.2,8990
merc, G Class,2017,Automatic,38247,Petrol,145.0,20.5,5.5,71995
hyundi, IX20,2017,Manual,21354,Petrol,145.0,50.4,1.4,9490
skoda, Scala,2019,Automatic,3500,Petrol,145.0,45.6,1.5,17995
ford, Galaxy,2017,Semi-Auto,40838,Diesel,145.0,52.3,2.0,18000
ford, Edge,2019,Automatic,4694,Diesel,145.0,37.2,2.0,33000
hyundi, I800,2019,Manual,7691,Diesel,150.0,31.7,0.0,18500
vw, Caravelle,2019,Automatic,11163,Diesel,145.0,33.6,2.0,44500
skoda, Rapid,2018,Manual,12231,Petrol,145.0,62.8,1.0,7995
toyota, GT86,2014,Manual,25499,Petrol,260.0,36.2,2.0,12998
ford, KA,2009,Manual,6000,Petrol,30.0,55.4,1.2,4990
vw, Caravelle,2020,Semi-Auto,2000,Diesel,150.0,33.6,2.0,43495
merc, GLB Class,2020,Semi-Auto,19,Diesel,145.0,46.3,2.0,36980
hyundi, IX35,2014,Manual,53544,Diesel,165.0,51.4,2.0,9475
toyota, Supra,2019,Automatic,10,Petrol,145.0,34.5,3.0,49499
skoda, Yeti,2014,Manual,13593,Petrol,165.0,46.3,1.2,11000
bmw, X4,2020,Semi-Auto,7724,Diesel,145.0,37.2,3.0,45990
merc, GL Class,2017,Automatic,56316,Diesel,125.0,56.5,2.1,20500
merc, S Class,2017,Semi-Auto,26699,Diesel,145.0,50.4,3.0,30580
vw, Scirocco,2018,Manual,27885,Petrol,145.0,47.1,2.0,16725
skoda, Rapid,2015,Manual,18926,Diesel,30.0,64.2,1.6,6998
merc, CLS Class,2016,Automatic,17730,Diesel,165.0,51.4,3.0,21591
hyundi, IX20,2014,Manual,42000,Petrol,125.0,50.4,1.4,5945
